pid,category,kld
1801.05994,LO,7.111815848038356
1504.07720,LG,4.589511857829314
1407.8056,NI,5.683629663414586
1501.03959,AI,5.209944928177049
1810.11704,CG,5.691070215485413
1509.06824,LG,4.030793715891008
1905.09447,AI,6.856406276459713
1811.03417,CY,5.231554959730189
cs0611139,DC,4.1785702015859805
1410.8433,IT,5.636405215103893
1805.09909,LG,4.443231515264092
1507.06183,CR,5.5060599166470805
1906.06435,CY,4.958167035445582
1705.10299,IT,6.599543377476167
1905.10048,CV,4.236177548802046
1904.12934,NI,5.743368878497084
1611.02273,SE,5.6901189757253405
1806.06031,DS,6.575996506420666
0912.2577,DS,4.901857910086335
1705.09644,LG,4.392920356430339
1104.2702,DM,6.63158910535842
1304.4051,NE,6.586914206435498
0804.0581,NA,4.749299596576926
1809.02240,SY,5.868546587197288
1612.09388,DS,4.630280476371938
1709.03183,LG,5.830720614111315
1402.2894,AR,5.030980820741505
1712.00158,CV,6.597973278089044
1512.04354,MM,5.42578828571875
1901.04764,DM,5.846977285209013
1401.6670,IT,5.872049143554829
1511.07376,DC,7.102111279052446
1703.10361,SE,6.411745621590285
1708.02222,DS,7.256802064261522
cs0408067,DM,2.389038396454425
1512.03423,CY,5.526054862772404
1808.06733,LG,5.4329760045597615
1702.08289,DM,8.984382023494177
cs0011009,DS,4.9561604500458545
1610.07578,IT,5.006256309268756
1105.4042,LG,4.694283965604293
1610.08914,CL,4.902373337906467
1212.0749,SI,5.806540582827897
1504.02972,NE,5.318460551182727
1705.00744,CV,3.3442207961537025
cs0008020,AI,5.130664568763105
1610.04065,CR,5.511470367692071
1603.04871,CV,2.886030567824433
1812.09201,NI,7.49365184768789
1407.6180,SC,5.494329919051469
1405.0455,SI,6.11630198104855
1503.05458,CR,4.548571079502056
1408.1776,SE,4.48021458716542
1109.3428,CY,3.766030356605925
1802.01789,DC,4.902248141783977
1806.06068,LG,2.8415676449643423
0902.0746,NI,5.423801333702647
0911.0844,IT,5.571894670896233
1308.3616,IT,4.276214123433555
1305.2452,LG,5.355711060620481
0809.4183,CR,6.152653266449895
1704.02303,DS,4.347194846949632
1006.1543,NE,4.0437118657828695
cmp-lg9410008,CL,4.202515888821797
1607.08227,NI,5.5236088966989305
1106.3628,DS,6.075485444695381
1405.2406,RO,6.898190204925863
1510.02125,CL,3.8592106851675627
1502.07436,CV,5.806209149680965
1709.04885,DS,6.633078354810121
1307.6789,DS,5.378715943472908
1502.06079,CG,4.610210623176549
cs0510056,AI,5.043909131294415
1901.08585,SI,6.014616113010001
1501.06158,DS,6.198410011711744
1711.08106,CV,5.775553674848438
1702.08813,SY,4.932348283613543
1506.00327,LG,5.528477144905342
1607.01444,SI,7.425256275649893
1509.06842,NE,7.034372592535303
1902.04215,DM,5.031506168580866
1507.02331,CR,5.116420657605563
1706.04065,DS,6.721153110958505
1512.03419,SI,3.418332808356006
1703.10970,MA,5.22744965711911
1611.01964,LG,4.192500883387936
1612.08185,CV,5.314684788103155
1412.6945,SI,6.761883598947016
1809.06951,SI,7.486393324472553
1502.06703,CV,5.173389181044202
1809.02399,RO,4.938401145155322
1907.06181,NI,6.267682875479455
1809.00336,CL,8.306386522033307
1308.2122,LO,4.564897943440666
1311.3151,CR,7.239228078782174
1411.7277,DS,7.496098488497757
1701.04934,IR,5.596967542969688
1304.2416,DS,4.888570639409819
math9702222,DS,7.00496882232904
1510.06702,SY,5.781669864407769
0906.4913,IT,7.279464961943295
1001.3036,IT,5.439943246732443
1801.05236,SE,4.88938116429966
cs0305006,DM,6.615380866485727
1812.05447,CV,6.067056106955928
1805.10817,LG,7.008371611202533
0811.3161,CC,4.956622172868641
1709.02959,CR,6.331255545589127
cs0305034,SC,4.562783143483503
1803.03173,LO,5.105231698755999
1810.01293,SY,6.320588926144148
1407.7010,LO,6.770246541975153
1106.2275,DC,5.842143845925393
1401.1895,LG,5.339960491556459
1806.01224,NE,5.558554825782816
0806.1846,NI,6.227172870907031
1511.02547,RO,3.893117919127451
1706.01552,CR,3.297442230252472
1711.10269,IT,8.076044865547496
1906.04329,CL,5.738279908278726
1509.07950,IT,5.889132787423309
1905.00966,CV,6.442777908080451
1409.6197,CY,5.125622555152609
1401.7419,CG,7.809948414572774
1709.02471,NI,6.288846537340971
cs0510064,DM,3.528835333112548
1612.04855,AR,6.228693437225202
cs0304023,CG,7.533553309786095
0903.2382,DM,5.898207231737992
